trip_id,stop_id,arrival_time,departure_time,stop_sequence
21-2-2-30060,119322,08:21:30,08:21:30,2
21-2-2-30060,119402,08:22:30,08:22:30,3
21-2-2-30060,116004,08:24:30,08:26:30,4
21-2-2-30060,114421,08:28:30,08:28:30,5
21-2-2-30060,122902,08:30:30,08:30:30,6
21-2-2-30060,122802,08:32:30,08:32:30,7
21-2-2-30060,122622,08:33:30,08:33:30,8
21-2-2-30060,133302,08:34:30,08:34:30,9
21-2-2-30060,113603,08:37:30,08:37:30,10
21-1-1-31620,113603,08:47:00,08:47:00,1
21-1-1-31620,133301,08:49:00,08:49:00,2
21-1-1-31620,122601,08:51:00,08:51:00,3
21-1-1-31620,122801,08:52:00,08:52:00,4
21-1-1-31620,122901,08:53:00,08:53:00,5
21-1-1-31620,119921,08:56:00,08:56:00,6
21-1-1-31620,118921,08:57:00,08:57:00,7
21-1-1-31620,119621,08:58:00,08:58:00,8
21-1-1-31620,116822,09:01:00,09:01:00,9
21-2-2-32460,116822,09:01:00,09:01:00,1
21-2-2-32460,119322,09:01:30,09:01:30,2
21-2-2-32460,119402,09:02:30,09:02:30,3
21-2-2-32460,116004,09:04:30,09:06:30,4
21-2-2-32460,114421,09:08:30,09:08:30,5
21-2-2-32460,122902,09:10:30,09:10:30,6
21-2-2-32460,122802,09:12:30,09:12:30,7
21-2-2-32460,122622,09:13:30,09:13:30,8
21-2-2-32460,133302,09:14:30,09:14:30,9
21-2-2-32460,113603,09:17:30,09:17:30,10
21-1-1-34020,113603,09:27:00,09:27:00,1
21-1-1-34020,133301,09:29:00,09:29:00,2
21-1-1-34020,122601,09:31:00,09:31:00,3
21-1-1-34020,122801,09:32:00,09:32:00,4
21-1-1-34020,122901,09:33:00,09:33:00,5
21-1-1-34020,119921,09:36:00,09:36:00,6
21-1-1-34020,118921,09:37:00,09:37:00,7
21-1-1-34020,119621,09:38:00,09:38:00,8
21-1-1-34020,116822,09:41:00,09:41:00,9
21-2-2-34860,116822,09:41:00,09:41:00,1
21-2-2-34860,119322,09:41:30,09:41:30,2
21-2-2-34860,119402,09:42:30,09:42:30,3
21-2-2-34860,116004,09:44:30,09:46:30,4
21-2-2-34860,114421,09:48:30,09:48:30,5
21-2-2-34860,122902,09:50:30,09:50:30,6
21-2-2-34860,122802,09:52:30,09:52:30,7
21-2-2-34860,122622,09:53:30,09:53:30,8
21-2-2-34860,133302,09:54:30,09:54:30,9
21-2-2-34860,113603,09:57:30,09:57:30,10
21-1-1-36420,113603,10:07:00,10:07:00,1
21-1-1-36420,133301,10:09:00,10:09:00,2
21-1-1-36420,122601,10:11:00,10:11:00,3
21-1-1-36420,122801,10:12:00,10:12:00,4
21-1-1-36420,122901,10:13:00,10:13:00,5
21-1-1-36420,119921,10:16:00,10:16:00,6
21-1-1-36420,118921,10:17:00,10:17:00,7
21-1-1-36420,119621,10:18:00,10:18:00,8
21-1-1-36420,116822,10:21:00,10:21:00,9
21-2-2-37260,116822,10:21:00,10:21:00,1
21-2-2-37260,119322,10:21:30,10:21:30,2
21-2-2-37260,119402,10:22:30,10:22:30,3
21-2-2-37260,116004,10:24:30,10:26:30,4
21-2-2-37260,114421,10:28:30,10:28:30,5
21-2-2-37260,122902,10:30:30,10:30:30,6
21-2-2-37260,122802,10:32:30,10:32:30,7
21-2-2-37260,122622,10:33:30,10:33:30,8
21-2-2-37260,133302,10:34:30,10:34:30,9
21-2-2-37260,113603,10:37:30,10:37:30,10
21-1-1-38820,113603,10:47:00,10:47:00,1
21-1-1-38820,133301,10:49:00,10:49:00,2
21-1-1-38820,122601,10:51:00,10:51:00,3
21-1-1-38820,122801,10:52:00,10:52:00,4
21-1-1-38820,122901,10:53:00,10:53:00,5
21-1-1-38820,119921,10:56:00,10:56:00,6
21-1-1-38820,118921,10:57:00,10:57:00,7
21-1-1-38820,119621,10:58:00,10:58:00,8
21-1-1-38820,116822,11:01:00,11:01:00,9
21-2-2-39660,116822,11:01:00,11:01:00,1
21-2-2-39660,119322,11:01:30,11:01:30,2
21-2-2-39660,119402,11:02:30,11:02:30,3
21-2-2-39660,116004,11:04:30,11:06:30,4
21-2-2-39660,114421,11:08:30,11:08:30,5
21-2-2-39660,122902,11:10:30,11:10:30,6
21-2-2-39660,122802,11:12:30,11:12:30,7
21-2-2-39660,122622,11:13:30,11:13:30,8
21-2-2-39660,133302,11:14:30,11:14:30,9
21-2-2-39660,113603,11:17:30,11:17:30,10
21-1-1-41220,113603,11:27:00,11:27:00,1
21-1-1-41220,133301,11:29:00,11:29:00,2
21-1-1-41220,122601,11:31:00,11:31:00,3
21-1-1-41220,122801,11:32:00,11:32:00,4
21-1-1-41220,122901,11:33:00,11:33:00,5
21-1-1-41220,119921,11:36:00,11:36:00,6
21-1-1-41220,118921,11:37:00,11:37:00,7
21-1-1-41220,119621,11:38:00,11:38:00,8
21-1-1-41220,116822,11:41:00,11:41:00,9
21-2-2-42060,116822,11:41:00,11:41:00,1
21-2-2-42060,119322,11:41:30,11:41:30,2
21-2-2-42060,119402,11:42:30,11:42:30,3
21-2-2-42060,116004,11:44:30,11:46:30,4
21-2-2-42060,114421,11:48:30,11:48:30,5
21-2-2-42060,122902,11:50:30,11:50:30,6
21-2-2-42060,122802,11:52:30,11:52:30,7
21-2-2-42060,122622,11:53:30,11:53:30,8
21-2-2-42060,133302,11:54:30,11:54:30,9
21-2-2-42060,113603,11:57:30,11:57:30,10
21-3-2-43680,113603,12:08:00,12:08:00,1
21-3-2-43680,133301,12:10:00,12:10:00,2
21-3-2-43680,122601,12:12:00,12:12:00,3
21-3-2-43680,122801,12:14:00,12:14:00,4
21-3-2-43680,122901,12:15:00,12:15:00,5
21-3-2-43680,114422,12:17:00,12:17:00,6
21-3-2-43680,116021,12:19:00,12:20:00,7
21-3-2-43680,119421,12:21:00,12:21:00,8
21-3-2-43680,119321,12:22:00,12:22:00,9
21-3-2-43680,116821,12:23:00,12:23:00,10
21-4-2-44640,116821,12:24:00,12:24:00,1
21-4-2-44640,119622,12:27:00,12:27:00,2
21-4-2-44640,118922,12:28:00,12:28:00,3
21-4-2-44640,119922,12:29:00,12:29:00,4
21-4-2-44640,122902,12:32:00,12:32:00,5
21-4-2-44640,122802,12:34:00,12:34:00,6
21-4-2-44640,122622,12:35:00,12:35:00,7
21-4-2-44640,133302,12:36:00,12:36:00,8
21-4-2-44640,113603,12:39:00,12:39:00,9
21-3-2-46080,113603,12:48:00,12:48:00,1
21-3-2-46080,133301,12:50:00,12:50:00,2
21-3-2-46080,122601,12:52:00,12:52:00,3
21-3-2-46080,122801,12:54:00,12:54:00,4
21-3-2-46080,122901,12:55:00,12:55:00,5
21-3-2-46080,114422,12:57:00,12:57:00,6
21-3-2-46080,116021,12:59:00,13:00:00,7
21-3-2-46080,119421,13:01:00,13:01:00,8
21-3-2-46080,119321,13:02:00,13:02:00,9
21-3-2-46080,116821,13:03:00,13:03:00,10
21-4-2-47040,116821,13:04:00,13:04:00,1
21-4-2-47040,119622,13:07:00,13:07:00,2
21-4-2-47040,118922,13:08:00,13:08:00,3
21-4-2-47040,119922,13:09:00,13:09:00,4
21-4-2-47040,122902,13:12:00,13:12:00,5
21-4-2-47040,122802,13:14:00,13:14:00,6
21-4-2-47040,122622,13:15:00,13:15:00,7
21-4-2-47040,133302,13:16:00,13:16:00,8
21-4-2-47040,113603,13:19:00,13:19:00,9
21-3-2-48480,113603,13:28:00,13:28:00,1
21-3-2-48480,133301,13:30:00,13:30:00,2
21-3-2-48480,122601,13:32:00,13:32:00,3
21-3-2-48480,122801,13:34:00,13:34:00,4
21-3-2-48480,122901,13:35:00,13:35:00,5
21-3-2-48480,114422,13:37:00,13:37:00,6
21-3-2-48480,116021,13:39:00,13:40:00,7
21-3-2-48480,119421,13:41:00,13:41:00,8
21-3-2-48480,119321,13:42:00,13:42:00,9
21-3-2-48480,116821,13:43:00,13:43:00,10
21-4-2-49440,116821,13:44:00,13:44:00,1
21-4-2-49440,119622,13:47:00,13:47:00,2
21-4-2-49440,118922,13:48:00,13:48:00,3
21-4-2-49440,119922,13:49:00,13:49:00,4
21-4-2-49440,122902,13:52:00,13:52:00,5
21-4-2-49440,122802,13:54:00,13:54:00,6
21-4-2-49440,122622,13:55:00,13:55:00,7
21-4-2-49440,133302,13:56:00,13:56:00,8
21-4-2-49440,113603,13:59:00,13:59:00,9
21-3-2-50880,113603,14:08:00,14:08:00,1
21-3-2-50880,133301,14:10:00,14:10:00,2
21-3-2-50880,122601,14:12:00,14:12:00,3
21-3-2-50880,122801,14:14:00,14:14:00,4
21-3-2-50880,122901,14:15:00,14:15:00,5
21-3-2-50880,114422,14:17:00,14:17:00,6
21-3-2-50880,116021,14:19:00,14:20:00,7
21-3-2-50880,119421,14:21:00,14:21:00,8
21-3-2-50880,119321,14:22:00,14:22:00,9
21-3-2-50880,116821,14:23:00,14:23:00,10
21-4-2-51840,116821,14:24:00,14:24:00,1
21-4-2-51840,119622,14:27:00,14:27:00,2
21-4-2-51840,118922,14:28:00,14:28:00,3
21-4-2-51840,119922,14:29:00,14:29:00,4
21-4-2-51840,122902,14:32:00,14:32:00,5
21-4-2-51840,122802,14:34:00,14:34:00,6
21-4-2-51840,122622,14:35:00,14:35:00,7
21-4-2-51840,133302,14:36:00,14:36:00,8
21-4-2-51840,113603,14:39:00,14:39:00,9
21-3-2-53280,113603,14:48:00,14:48:00,1
21-3-2-53280,133301,14:50:00,14:50:00,2
21-3-2-53280,122601,14:52:00,14:52:00,3
21-3-2-53280,122801,14:54:00,14:54:00,4
21-3-2-53280,122901,14:55:00,14:55:00,5
21-3-2-53280,114422,14:57:00,14:57:00,6
21-3-2-53280,116021,14:59:00,15:00:00,7
21-3-2-53280,119421,15:01:00,15:01:00,8
21-3-2-53280,119321,15:02:00,15:02:00,9
21-3-2-53280,116821,15:03:00,15:03:00,10
21-4-2-54240,116821,15:04:00,15:04:00,1
21-4-2-54240,119622,15:07:00,15:07:00,2
21-4-2-54240,118922,15:08:00,15:08:00,3
21-4-2-54240,119922,15:09:00,15:09:00,4
21-4-2-54240,122902,15:12:00,15:12:00,5
21-4-2-54240,122802,15:14:00,15:14:00,6
21-4-2-54240,122622,15:15:00,15:15:00,7
21-4-2-54240,133302,15:16:00,15:16:00,8
21-4-2-54240,113603,15:19:00,15:19:00,9
21-3-2-55680,113603,15:28:00,15:28:00,1
21-3-2-55680,133301,15:30:00,15:30:00,2
21-3-2-55680,122601,15:32:00,15:32:00,3
21-3-2-55680,122801,15:34:00,15:34:00,4
21-3-2-55680,122901,15:35:00,15:35:00,5
21-3-2-55680,114422,15:37:00,15:37:00,6
21-3-2-55680,116021,15:39:00,15:40:00,7
21-3-2-55680,119421,15:41:00,15:41:00,8
21-3-2-55680,119321,15:42:00,15:42:00,9
21-3-2-55680,116821,15:43:00,15:43:00,10
21-4-2-56640,116821,15:44:00,15:44:00,1
21-4-2-56640,119622,15:47:00,15:47:00,2
21-4-2-56640,118922,15:48:00,15:48:00,3
21-4-2-56640,119922,15:49:00,15:49:00,4
21-4-2-56640,122902,15:52:00,15:52:00,5
21-4-2-56640,122802,15:54:00,15:54:00,6
21-4-2-56640,122622,15:55:00,15:55:00,7
21-4-2-56640,133302,15:56:00,15:56:00,8
21-4-2-56640,113603,15:59:00,15:59:00,9
21-3-2-58080,113603,16:08:00,16:08:00,1
21-3-2-58080,133301,16:10:00,16:10:00,2
21-3-2-58080,122601,16:12:00,16:12:00,3
21-3-2-58080,122801,16:14:00,16:14:00,4
21-3-2-58080,122901,16:15:00,16:15:00,5
21-3-2-58080,114422,16:17:00,16:17:00,6
21-3-2-58080,116021,16:19:00,16:20:00,7
21-3-2-58080,119421,16:21:00,16:21:00,8
21-3-2-58080,119321,16:22:00,16:22:00,9
21-3-2-58080,116821,16:23:00,16:23:00,10
21-4-2-59040,116821,16:24:00,16:24:00,1
21-4-2-59040,119622,16:27:00,16:27:00,2
21-4-2-59040,118922,16:28:00,16:28:00,3
21-4-2-59040,119922,16:29:00,16:29:00,4
21-4-2-59040,122902,16:32:00,16:32:00,5
21-4-2-59040,122802,16:34:00,16:34:00,6
21-4-2-59040,122622,16:35:00,16:35:00,7
21-4-2-59040,133302,16:36:00,16:36:00,8
21-4-2-59040,113603,16:39:00,16:39:00,9
21-3-2-60480,113603,16:48:00,16:48:00,1
21-3-2-60480,133301,16:50:00,16:50:00,2
21-3-2-60480,122601,16:52:00,16:52:00,3
21-3-2-60480,122801,16:54:00,16:54:00,4
21-3-2-60480,122901,16:55:00,16:55:00,5
21-3-2-60480,114422,16:57:00,16:57:00,6
21-3-2-60480,116021,16:59:00,17:00:00,7
21-3-2-60480,119421,17:01:00,17:01:00,8
21-3-2-60480,119321,17:02:00,17:02:00,9
21-3-2-60480,116821,17:03:00,17:03:00,10
21-4-2-61440,116821,17:04:00,17:04:00,1
21-4-2-61440,119622,17:07:00,17:07:00,2
21-4-2-61440,118922,17:08:00,17:08:00,3
21-4-2-61440,119922,17:09:00,17:09:00,4
21-4-2-61440,122902,17:12:00,17:12:00,5
21-4-2-61440,122802,17:14:00,17:14:00,6
21-4-2-61440,122622,17:15:00,17:15:00,7
21-4-2-61440,133302,17:16:00,17:16:00,8
21-4-2-61440,113603,17:19:00,17:19:00,9
21-3-2-62880,113603,17:28:00,17:28:00,1
21-3-2-62880,133301,17:30:00,17:30:00,2
21-3-2-62880,122601,17:32:00,17:32:00,3
21-3-2-62880,122801,17:34:00,17:34:00,4
21-3-2-62880,122901,17:35:00,17:35:00,5
21-3-2-62880,114422,17:37:00,17:37:00,6
21-3-2-62880,116021,17:39:00,17:40:00,7
21-3-2-62880,119421,17:41:00,17:41:00,8
21-3-2-62880,119321,17:42:00,17:42:00,9
21-3-2-62880,116821,17:43:00,17:43:00,10
21-4-2-63840,116821,17:44:00,17:44:00,1
21-4-2-63840,119622,17:47:00,17:47:00,2
21-4-2-63840,118922,17:48:00,17:48:00,3
21-4-2-63840,119922,17:49:00,17:49:00,4
21-4-2-63840,122902,17:52:00,17:52:00,5
21-4-2-63840,122802,17:54:00,17:54:00,6
21-4-2-63840,122622,17:55:00,17:55:00,7
21-4-2-63840,133302,17:56:00,17:56:00,8
21-4-2-63840,113603,17:59:00,17:59:00,9
21-3-2-65280,113603,18:08:00,18:08:00,1
21-3-2-65280,133301,18:10:00,18:10:00,2
21-3-2-65280,122601,18:12:00,18:12:00,3
21-3-2-65280,122801,18:14:00,18:14:00,4
21-3-2-65280,122901,18:15:00,18:15:00,5
21-3-2-65280,114422,18:17:00,18:17:00,6
21-3-2-65280,116021,18:19:00,18:20:00,7
21-3-2-65280,119421,18:21:00,18:21:00,8
21-3-2-65280,119321,18:22:00,18:22:00,9
21-3-2-65280,116821,18:23:00,18:23:00,10
21-22-2-26820,116004,07:27:00,07:27:00,1
21-22-2-26820,114421,07:29:00,07:29:00,2
21-22-2-26820,122902,07:31:00,07:31:00,3
21-22-2-26820,122802,07:33:00,07:33:00,4
21-22-2-26820,122622,07:34:00,07:34:00,5
21-22-2-26820,133302,07:35:00,07:35:00,6
21-22-2-26820,113603,07:38:00,07:38:00,7
21-1-1-28020,113603,07:47:00,07:47:00,1
21-1-1-28020,133301,07:49:00,07:49:00,2
21-1-1-28020,122601,07:51:00,07:51:00,3
21-1-1-28020,122801,07:52:00,07:52:00,4
21-1-1-28020,122901,07:53:00,07:53:00,5
21-1-1-28020,119921,07:56:00,07:56:00,6
21-1-1-28020,118921,07:57:00,07:57:00,7
21-1-1-28020,119621,07:58:00,07:58:00,8
21-1-1-28020,116822,08:01:00,08:01:00,9
21-2-2-28860,116822,08:01:00,08:01:00,1
21-2-2-28860,119322,08:01:30,08:01:30,2
21-2-2-28860,119402,08:02:30,08:02:30,3
21-2-2-28860,116004,08:04:30,08:06:30,4
21-2-2-28860,114421,08:08:30,08:08:30,5
21-2-2-28860,122902,08:10:30,08:10:30,6
21-2-2-28860,122802,08:12:30,08:12:30,7
21-2-2-28860,122622,08:13:30,08:13:30,8
21-2-2-28860,133302,08:14:30,08:14:30,9
21-2-2-28860,113603,08:17:30,08:17:30,10
21-1-1-30420,113603,08:27:00,08:27:00,1
21-1-1-30420,133301,08:29:00,08:29:00,2
21-1-1-30420,122601,08:31:00,08:31:00,3
21-1-1-30420,122801,08:32:00,08:32:00,4
21-1-1-30420,122901,08:33:00,08:33:00,5
21-1-1-30420,119921,08:36:00,08:36:00,6
21-1-1-30420,118921,08:37:00,08:37:00,7
21-1-1-30420,119621,08:38:00,08:38:00,8
21-1-1-30420,116822,08:41:00,08:41:00,9
21-2-2-31260,116822,08:41:00,08:41:00,1
21-2-2-31260,119322,08:41:30,08:41:30,2
21-2-2-31260,119402,08:42:30,08:42:30,3
21-2-2-31260,116004,08:44:30,08:46:30,4
21-2-2-31260,114421,08:48:30,08:48:30,5
21-2-2-31260,122902,08:50:30,08:50:30,6
21-2-2-31260,122802,08:52:30,08:52:30,7
21-2-2-31260,122622,08:53:30,08:53:30,8
21-2-2-31260,133302,08:54:30,08:54:30,9
21-2-2-31260,113603,08:57:30,08:57:30,10
21-2-2-33660,116822,09:21:00,09:21:00,1
21-2-2-33660,119322,09:21:30,09:21:30,2
21-2-2-33660,119402,09:22:30,09:22:30,3
21-2-2-33660,116004,09:24:30,09:26:30,4
21-2-2-33660,114421,09:28:30,09:28:30,5
21-2-2-33660,122902,09:30:30,09:30:30,6
21-2-2-33660,122802,09:32:30,09:32:30,7
21-2-2-33660,122622,09:33:30,09:33:30,8
21-2-2-33660,133302,09:34:30,09:34:30,9
21-2-2-33660,113603,09:37:30,09:37:30,10
21-1-1-35220,113603,09:47:00,09:47:00,1
21-1-1-35220,133301,09:49:00,09:49:00,2
21-1-1-35220,122601,09:51:00,09:51:00,3
21-1-1-35220,122801,09:52:00,09:52:00,4
21-1-1-35220,122901,09:53:00,09:53:00,5
21-1-1-35220,119921,09:56:00,09:56:00,6
21-1-1-35220,118921,09:57:00,09:57:00,7
21-1-1-35220,119621,09:58:00,09:58:00,8
21-1-1-35220,116822,10:01:00,10:01:00,9
21-2-2-36060,116822,10:01:00,10:01:00,1
21-2-2-36060,119322,10:01:30,10:01:30,2
21-2-2-36060,119402,10:02:30,10:02:30,3
21-2-2-36060,116004,10:04:30,10:06:30,4
21-2-2-36060,114421,10:08:30,10:08:30,5
21-2-2-36060,122902,10:10:30,10:10:30,6
21-2-2-36060,122802,10:12:30,10:12:30,7
21-2-2-36060,122622,10:13:30,10:13:30,8
21-2-2-36060,133302,10:14:30,10:14:30,9
21-2-2-36060,113603,10:17:30,10:17:30,10
21-1-1-37620,113603,10:27:00,10:27:00,1
21-1-1-37620,133301,10:29:00,10:29:00,2
21-1-1-37620,122601,10:31:00,10:31:00,3
21-1-1-37620,122801,10:32:00,10:32:00,4
21-1-1-37620,122901,10:33:00,10:33:00,5
21-1-1-37620,119921,10:36:00,10:36:00,6
21-1-1-37620,118921,10:37:00,10:37:00,7
21-1-1-37620,119621,10:38:00,10:38:00,8
21-1-1-37620,116822,10:41:00,10:41:00,9
21-2-2-38460,116822,10:41:00,10:41:00,1
21-2-2-38460,119322,10:41:30,10:41:30,2
21-2-2-38460,119402,10:42:30,10:42:30,3
21-2-2-38460,116004,10:44:30,10:46:30,4
21-2-2-38460,114421,10:48:30,10:48:30,5
21-2-2-38460,122902,10:50:30,10:50:30,6
21-2-2-38460,122802,10:52:30,10:52:30,7
21-2-2-38460,122622,10:53:30,10:53:30,8
21-2-2-38460,133302,10:54:30,10:54:30,9
21-2-2-38460,113603,10:57:30,10:57:30,10
